Registo,Valor,Estado
337,N/A,TIMEOUT/NÃO_DISPONÍVEL
338,N/A,TIMEOUT/NÃO_DISPONÍVEL
339,N/A,TIMEOUT/NÃO_DISPONÍVEL
340,N/A,TIMEOUT/NÃO_DISPONÍVEL
341,N/A,TIMEOUT/NÃO_DISPONÍVEL
342,N/A,TIMEOUT/NÃO_DISPONÍVEL
343,N/A,TIMEOUT/NÃO_DISPONÍVEL
344,N/A,TIMEOUT/NÃO_DISPONÍVEL
345,N/A,TIMEOUT/NÃO_DISPONÍVEL
346,N/A,TIMEOUT/NÃO_DISPONÍVEL
347,N/A,TIMEOUT/NÃO_DISPONÍVEL
348,N/A,TIMEOUT/NÃO_DISPONÍVEL
349,N/A,TIMEOUT/NÃO_DISPONÍVEL
350,N/A,TIMEOUT/NÃO_DISPONÍVEL
351,N/A,TIMEOUT/NÃO_DISPONÍVEL
352,N/A,TIMEOUT/NÃO_DISPONÍVEL
353,N/A,TIMEOUT/NÃO_DISPONÍVEL
354,N/A,TIMEOUT/NÃO_DISPONÍVEL
355,N/A,TIMEOUT/NÃO_DISPONÍVEL
356,N/A,TIMEOUT/NÃO_DISPONÍVEL
357,N/A,TIMEOUT/NÃO_DISPONÍVEL
358,N/A,TIMEOUT/NÃO_DISPONÍVEL
359,N/A,TIMEOUT/NÃO_DISPONÍVEL
360,N/A,TIMEOUT/NÃO_DISPONÍVEL
361,N/A,TIMEOUT/NÃO_DISPONÍVEL
362,N/A,TIMEOUT/NÃO_DISPONÍVEL
363,N/A,TIMEOUT/NÃO_DISPONÍVEL
364,N/A,TIMEOUT/NÃO_DISPONÍVEL
365,N/A,TIMEOUT/NÃO_DISPONÍVEL
366,N/A,TIMEOUT/NÃO_DISPONÍVEL
367,N/A,TIMEOUT/NÃO_DISPONÍVEL
368,N/A,TIMEOUT/NÃO_DISPONÍVEL
369,N/A,TIMEOUT/NÃO_DISPONÍVEL
370,N/A,TIMEOUT/NÃO_DISPONÍVEL
371,N/A,TIMEOUT/NÃO_DISPONÍVEL
372,N/A,TIMEOUT/NÃO_DISPONÍVEL
373,N/A,TIMEOUT/NÃO_DISPONÍVEL
374,N/A,TIMEOUT/NÃO_DISPONÍVEL
375,N/A,TIMEOUT/NÃO_DISPONÍVEL
376,N/A,TIMEOUT/NÃO_DISPONÍVEL
377,N/A,TIMEOUT/NÃO_DISPONÍVEL
378,N/A,TIMEOUT/NÃO_DISPONÍVEL
379,N/A,TIMEOUT/NÃO_DISPONÍVEL
380,N/A,TIMEOUT/NÃO_DISPONÍVEL
381,N/A,TIMEOUT/NÃO_DISPONÍVEL
382,N/A,TIMEOUT/NÃO_DISPONÍVEL
383,N/A,TIMEOUT/NÃO_DISPONÍVEL
384,N/A,TIMEOUT/NÃO_DISPONÍVEL
385,N/A,TIMEOUT/NÃO_DISPONÍVEL
386,N/A,TIMEOUT/NÃO_DISPONÍVEL
387,N/A,TIMEOUT/NÃO_DISPONÍVEL
388,N/A,TIMEOUT/NÃO_DISPONÍVEL
389,N/A,TIMEOUT/NÃO_DISPONÍVEL
390,N/A,TIMEOUT/NÃO_DISPONÍVEL
391,N/A,TIMEOUT/NÃO_DISPONÍVEL
392,N/A,TIMEOUT/NÃO_DISPONÍVEL
393,N/A,TIMEOUT/NÃO_DISPONÍVEL
