OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.3.6.7.1.2.6,Integer,223,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.7,Integer,244,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.8,Integer,197,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.9,Integer,239,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.10,Integer,263,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.11,Integer,276,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.12,Integer,291,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.13,Integer,270,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.14,Integer,265,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.15,Integer,244,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.16,Integer,249,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.17,Integer,216,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.18,Integer,250,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.19,Integer,234,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.20,Integer,217,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.21,Integer,257,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.22,Integer,299,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.23,Integer,283,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.24,Integer,319,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.25,Integer,342,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.26,Integer,355,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.27,Integer,350,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.28,Integer,264,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.29,Integer,346,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.30,Integer,362,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.31,Integer,722,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.32,Integer,392,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.33,Integer,393,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.34,Integer,408,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.35,Integer,405,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.36,Integer,398,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.37,Integer,420,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.38,Integer,247,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.39,Integer,334,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.40,Integer,799,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.41,Integer,475,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.42,Integer,956,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.43,Integer,916,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.44,Integer,950,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.45,Integer,976,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.46,Integer,335,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.47,Integer,0,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.48,Integer,0,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.49,Integer,0,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.50,Integer,0,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.51,Integer,0,
.1.3.6.1.4.1.12148.10.3.6.7.1.2.52,Integer,72,
.1.3.6.1.4.1.12148.10.3.6.8.0,Integer,0,
.1.3.6.1.4.1.12148.10.3.7.0,Integer,0,
.1.3.6.1.4.1.12148.10.3.15.0,Gauge32,858,
.1.3.6.1.4.1.12148.10.4.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.4.2.0,Integer,4,
.1.3.6.1.4.1.12148.10.4.3.0,Integer,1,
.1.3.6.1.4.1.12148.10.4.4.0,Integer,9,
.1.3.6.1.4.1.12148.10.4.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.6.0,Integer,130,
.1.3.6.1.4.1.12148.10.4.7.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.8.0,Integer,30,
.1.3.6.1.4.1.12148.10.4.9.0,Integer,95,
.1.3.6.1.4.1.12148.10.4.10.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.11.0,Integer,10,
.1.3.6.1.4.1.12148.10.4.12.0,Integer,1,
.1.3.6.1.4.1.12148.10.4.13.0,Integer,4850,
.1.3.6.1.4.1.12148.10.4.14.0,Integer,4,
.1.3.6.1.4.1.12148.10.4.15.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.16.1.2.1,Integer,18,
.1.3.6.1.4.1.12148.10.4.16.1.2.2,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.2.3,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.2.4,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.2.5,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.2.6,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.2.7,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.1,Integer,0,
.1.3.6.1.4.1.12148.10.4.16.1.3.2,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.3,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.4,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.5,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.6,Integer,9,
.1.3.6.1.4.1.12148.10.4.16.1.3.7,Integer,9,
.1.3.6.1.4.1.12148.10.4.17.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.18.0,Integer,9,
.1.3.6.1.4.1.12148.10.4.19.0,Integer,1,
.1.3.6.1.4.1.12148.10.4.20.0,Integer,1,
.1.3.6.1.4.1.12148.10.4.21.0,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.1.0,Integer,126323968,
.1.3.6.1.4.1.12148.10.4.23.2.0,Integer,52,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.1,Integer,6022,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.2,Integer,5605,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.3,Integer,734,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.4,Integer,2382,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.5,Integer,6199,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.6,Integer,6185,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.7,Integer,6188,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.8,Integer,4968,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.9,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.10,Integer,0,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.11,Integer,188,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.12,Integer,3232,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.13,Integer,6010,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.14,Integer,6203,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.15,Integer,6050,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.16,Integer,259,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.17,Integer,1923,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.18,Integer,6099,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.19,Integer,6068,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.20,Integer,6022,
.1.3.6.1.4.1.12148.10.4.23.3.1.2.21,Integer,4612,
