OID,TYPE,VALUE,POSSIBLE_SOH
.1.3.6.1.4.1.12148.10.10.25.7.1.2.21,Integer,356,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.22,Integer,317,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.23,Integer,307,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.24,Integer,358,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.25,Integer,351,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.26,Integer,355,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.27,Integer,348,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.28,Integer,264,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.29,Integer,336,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.30,Integer,362,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.31,Integer,360,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.32,Integer,355,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.33,Integer,391,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.34,Integer,389,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.35,Integer,399,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.36,Integer,400,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.37,Integer,390,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.38,Integer,413,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.39,Integer,437,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.40,Integer,471,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.41,Integer,419,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.42,Integer,476,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.43,Integer,474,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.44,Integer,456,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.45,Integer,478,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.46,Integer,458,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.47,Integer,473,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.48,Integer,472,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.49,Integer,465,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.50,Integer,473,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.51,Integer,467,
.1.3.6.1.4.1.12148.10.10.25.7.1.2.52,Integer,76,
.1.3.6.1.4.1.12148.10.10.26.1.0,Integer,0,
.1.3.6.1.4.1.12148.10.10.26.2.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.10.26.2.2.0,OctetString,[66 97 116 116 101 114 121 69 114 114 111 114 32 32 32 32],
.1.3.6.1.4.1.12148.10.10.26.2.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.10.26.2.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.10.26.2.6.0,Integer,2,
.1.3.6.1.4.1.12148.10.10.26.2.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.10.26.3.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.10.26.3.2.0,OctetString,[66 97 116 116 101 114 121 67 111 109 109 69 114 114 46 32],
.1.3.6.1.4.1.12148.10.10.26.3.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.10.26.3.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.10.26.3.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.10.26.3.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.11.1.1.2.1,Integer,3,
.1.3.6.1.4.1.12148.10.11.2.1.2.1.1,Integer,4,
.1.3.6.1.4.1.12148.10.11.2.1.2.1.2,Integer,4,
.1.3.6.1.4.1.12148.10.11.2.1.2.1.3,Integer,4,
.1.3.6.1.4.1.12148.10.11.2.1.3.1.1,OctetString,[80 114 111 103 73 110 112 117 116 32 49 46 49 32],
.1.3.6.1.4.1.12148.10.11.2.1.3.1.2,OctetString,[80 114 111 103 73 110 112 117 116 32 49 46 50 32],
.1.3.6.1.4.1.12148.10.11.2.1.3.1.3,OctetString,[80 114 111 103 73 110 112 117 116 32 49 46 51 32],
.1.3.6.1.4.1.12148.10.11.2.1.5.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.11.2.1.5.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.11.2.1.5.1.3,Integer,0,
.1.3.6.1.4.1.12148.10.11.2.1.6.1.1,Integer,4,
.1.3.6.1.4.1.12148.10.11.2.1.6.1.2,Integer,9,
.1.3.6.1.4.1.12148.10.11.2.1.6.1.3,Integer,9,
.1.3.6.1.4.1.12148.10.11.2.1.7.1.1,Integer,2,
.1.3.6.1.4.1.12148.10.11.2.1.7.1.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.2.1.7.1.3,Integer,2,
.1.3.6.1.4.1.12148.10.11.3.1.2.1,Integer,6,
.1.3.6.1.4.1.12148.10.11.3.1.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.2,Integer,3,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.3,Integer,3,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.4,Integer,3,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.5,Integer,3,
.1.3.6.1.4.1.12148.10.11.4.1.2.1.6,Integer,3,
.1.3.6.1.4.1.12148.10.11.4.1.2.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.2.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.3.1.1,OctetString,[77 97 105 110 115 32 83 80 68 32 65 108 97 114 109],
.1.3.6.1.4.1.12148.10.11.4.1.3.1.2,OctetString,[71 101 110 101 114 97 116 111 114 32 67 111 109 109 111 110],
.1.3.6.1.4.1.12148.10.11.4.1.3.1.3,OctetString,[70 117 101 108 32 76 101 118 101 108 32 65 108 97 114 109],
.1.3.6.1.4.1.12148.10.11.4.1.3.1.4,OctetString,[65 105 114 99 111 110 32 65 108 97 114 109],
.1.3.6.1.4.1.12148.10.11.4.1.3.1.5,OctetString,[68 111 111 114 32 65 108 97 114 109],
.1.3.6.1.4.1.12148.10.11.4.1.3.1.6,OctetString,[83 109 111 107 101 32 65 108 97 114 109],
.1.3.6.1.4.1.12148.10.11.4.1.3.2.1,OctetString,[],
.1.3.6.1.4.1.12148.10.11.4.1.3.2.2,OctetString,[],
.1.3.6.1.4.1.12148.10.11.4.1.5.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.1.2,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.1.3,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.1.4,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.1.5,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.1.6,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.5.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.5.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.2,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.3,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.4,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.5,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.6.1.6,Integer,1,
.1.3.6.1.4.1.12148.10.11.4.1.6.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.6.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.1,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.2,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.3,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.4,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.5,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.1.6,Integer,2,
.1.3.6.1.4.1.12148.10.11.4.1.7.2.1,Integer,4,
.1.3.6.1.4.1.12148.10.11.4.1.7.2.2,Integer,4,
.1.3.6.1.4.1.12148.10.12.1.1.2.1,Integer,3,
.1.3.6.1.4.1.12148.10.12.2.1.2.1.1,Integer,3,
.1.3.6.1.4.1.12148.10.12.2.1.2.1.2,Integer,3,
.1.3.6.1.4.1.12148.10.12.2.1.2.1.3,Integer,3,
.1.3.6.1.4.1.12148.10.12.2.1.3.1.1,OctetString,[66 97 116 116 32 99 111 110 116 97 99 116 111 114 32 32],
.1.3.6.1.4.1.12148.10.12.2.1.3.1.2,OctetString,[76 111 97 100 32 99 111 110 116 97 99 116 111 114 32 49],
.1.3.6.1.4.1.12148.10.12.2.1.3.1.3,OctetString,[76 111 97 100 32 99 111 110 116 97 99 116 111 114 32 50],
.1.3.6.1.4.1.12148.10.12.3.1.2.1,Integer,6,
.1.3.6.1.4.1.12148.10.12.3.1.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.1,Integer,1,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.2,Integer,1,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.3,Integer,1,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.4,Integer,0,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.5,Integer,1,
.1.3.6.1.4.1.12148.10.12.4.1.2.1.6,Integer,1,
.1.3.6.1.4.1.12148.10.12.4.1.2.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.12.4.1.2.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.12.4.1.3.1.1,OctetString,[82 101 99 116 46 32 80 114 105 111 114 105 116 121],
.1.3.6.1.4.1.12148.10.12.4.1.3.1.2,OctetString,[82 101 99 116 46 32 78 45 80 114 105 111 114 105 116 121],
.1.3.6.1.4.1.12148.10.12.4.1.3.1.3,OctetString,[66 97 116 116 101 114 121 32 86 111 108 116 97 103 101],
.1.3.6.1.4.1.12148.10.12.4.1.3.1.4,OctetString,[71 101 110 46 32 67 111 110 116 114 111 108],
.1.3.6.1.4.1.12148.10.12.4.1.3.1.5,OctetString,[72 105 103 104 32 84 101 109 112 46],
.1.3.6.1.4.1.12148.10.12.4.1.3.1.6,OctetString,[77 97 105 110 115 32 70 97 105 108],
.1.3.6.1.4.1.12148.10.12.4.1.3.2.1,OctetString,[],
.1.3.6.1.4.1.12148.10.12.4.1.3.2.2,OctetString,[],
.1.3.6.1.4.1.12148.10.13.1.0,Integer,3,
.1.3.6.1.4.1.12148.10.13.2.0,OctetString,[7 234 7 10 16 24 20 0],
.1.3.6.1.4.1.12148.10.13.3.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.4.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.4.2.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.3.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.2.1,OctetString,[49 50 55 46 48 46 48 46 49],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.2,OctetString,[49 50 55 46 48 46 48 46 49],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.3,OctetString,[49 50 55 46 48 46 48 46 49],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.4,OctetString,[58 58 49],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.5,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.6,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.7,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.8,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.9,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.2.10,OctetString,[48 46 48 46 48 46 48],
.1.3.6.1.4.1.12148.10.13.4.6.1.3.1,Integer,162,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.2,Integer,162,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.3,Integer,162,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.4,Integer,162,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.5,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.6,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.7,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.8,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.9,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.3.10,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.1,Integer,1,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.2,Integer,2,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.3,Integer,3,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.4,Integer,3,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.5,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.6,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.7,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.8,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.9,Integer,0,
.1.3.6.1.4.1.12148.10.13.4.6.1.4.10,Integer,0,
.1.3.6.1.4.1.12148.10.13.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.6.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.1.0,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.2.1.2.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.2.1.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.2.1.3.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.2.1.3.2,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.3.1.2.1.1,Integer,6,
.1.3.6.1.4.1.12148.10.13.7.3.1.2.1.2,Integer,6,
.1.3.6.1.4.1.12148.10.13.7.3.1.2.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.3.1.2.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.3.1.3.1.1,OctetString,[],
.1.3.6.1.4.1.12148.10.13.7.3.1.3.1.2,OctetString,[],
.1.3.6.1.4.1.12148.10.13.7.3.1.3.2.1,OctetString,[],
.1.3.6.1.4.1.12148.10.13.7.3.1.3.2.2,OctetString,[],
.1.3.6.1.4.1.12148.10.13.7.3.1.5.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.5.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.5.2.1,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.3.1.5.2.2,Integer,2,
.1.3.6.1.4.1.12148.10.13.7.3.1.6.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.6.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.6.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.6.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.7.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.7.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.7.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.7.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.8.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.8.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.8.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.8.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.9.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.9.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.9.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.9.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.10.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.10.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.3.1.10.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.3.1.10.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.2.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.2.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.2.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.2.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.3.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.3.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.3.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.3.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.4.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.4.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.7.4.1.4.2.1,Integer,29186,
.1.3.6.1.4.1.12148.10.13.7.4.1.4.2.2,Integer,29186,
.1.3.6.1.4.1.12148.10.13.8.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.13.8.2.1.2.1,OctetString,[83 80 50 32 84 111 117 99 104 32 49 32 32 32 32],
.1.3.6.1.4.1.12148.10.13.8.2.1.2.2,OctetString,[83 80 50 32 66 97 115 105 99 32 49 32],
.1.3.6.1.4.1.12148.10.13.8.2.1.2.3,OctetString,[73 47 79 32 117 110 105 116 32 49 32 32 32 32 32],
.1.3.6.1.4.1.12148.10.13.8.2.1.2.4,OctetString,[],
.1.3.6.1.4.1.12148.10.13.8.2.1.3.1,Integer,1,
.1.3.6.1.4.1.12148.10.13.8.2.1.3.2,Integer,1,
.1.3.6.1.4.1.12148.10.13.8.2.1.3.3,Integer,3,
.1.3.6.1.4.1.12148.10.13.8.2.1.3.4,Integer,9,
.1.3.6.1.4.1.12148.10.13.8.2.1.4.1,OctetString,[49 57 51 51 55 49 48 51 57 56 53 51],
.1.3.6.1.4.1.12148.10.13.8.2.1.4.2,OctetString,[49 57 49 53 55 49 48 48 49 55 50 51],
.1.3.6.1.4.1.12148.10.13.8.2.1.4.3,OctetString,[49 57 50 57 55 49 48 48 54 55 48 51],
.1.3.6.1.4.1.12148.10.13.8.2.1.4.4,OctetString,[48 57 50 62 51 50 48 48 48 48 48 48],
.1.3.6.1.4.1.12148.10.13.8.2.1.5.1,OctetString,[50 52 50 49 48 48 46 53 49 48],
.1.3.6.1.4.1.12148.10.13.8.2.1.5.2,OctetString,[50 52 50 49 48 48 46 53 48 49],
.1.3.6.1.4.1.12148.10.13.8.2.1.5.3,OctetString,[50 52 50 49 48 48 46 53 48 50],
.1.3.6.1.4.1.12148.10.13.8.2.1.5.4,OctetString,[],
.1.3.6.1.4.1.12148.10.13.8.2.1.6.1,OctetString,[51 46 48],
.1.3.6.1.4.1.12148.10.13.8.2.1.6.2,OctetString,[53],
.1.3.6.1.4.1.12148.10.13.8.2.1.6.3,OctetString,[50 46 48],
.1.3.6.1.4.1.12148.10.13.8.2.1.6.4,OctetString,[],
.1.3.6.1.4.1.12148.10.13.8.2.1.7.1,OctetString,[52 48 53 48 51 54 46 48 48 57],
.1.3.6.1.4.1.12148.10.13.8.2.1.7.2,OctetString,[52 48 53 48 48 55 46 48 48 57],
.1.3.6.1.4.1.12148.10.13.8.2.1.7.3,OctetString,[52 48 50 48 56 56 46 48 48 57],
.1.3.6.1.4.1.12148.10.13.8.2.1.7.4,OctetString,[],
.1.3.6.1.4.1.12148.10.13.8.2.1.8.1,OctetString,[50 46 49 48 32],
.1.3.6.1.4.1.12148.10.13.8.2.1.8.2,OctetString,[49 46 53],
.1.3.6.1.4.1.12148.10.13.8.2.1.8.3,OctetString,[52 46 50],
.1.3.6.1.4.1.12148.10.13.8.2.1.8.4,OctetString,[],
.1.3.6.1.4.1.12148.10.13.9.1.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.9.6.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.9.8.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.9.10.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.10.1.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.10.6.0,Integer,12,
.1.3.6.1.4.1.12148.10.13.10.8.0,Integer,12,
.1.3.6.1.4.1.12148.10.13.10.11.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.10.13.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.10.15.0,Integer,52,
.1.3.6.1.4.1.12148.10.13.11.1.1.2.1,Integer,3,
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.1,Integer,4,
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.2,Integer,4,
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.3,Integer,4,
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.1,OctetString,[84 101 109 112 101 114 97 116 117 114 101 49 46 49],
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.2,OctetString,[84 101 109 112 101 114 97 116 117 114 101 49 46 50],
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.3,OctetString,[84 101 109 112 101 114 97 116 117 114 101 49 46 51],
.1.3.6.1.4.1.12148.10.13.11.2.1.5.1.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.11.2.1.5.1.2,Integer,0,
.1.3.6.1.4.1.12148.10.13.11.2.1.5.1.3,Integer,0,
.1.3.6.1.4.1.12148.10.13.11.2.1.6.1.1,Integer,23,
.1.3.6.1.4.1.12148.10.13.11.2.1.6.1.2,Integer,-100,
.1.3.6.1.4.1.12148.10.13.11.2.1.6.1.3,Integer,-100,
.1.3.6.1.4.1.12148.10.13.11.2.1.7.1.1,Integer,40,
.1.3.6.1.4.1.12148.10.13.11.2.1.7.1.2,Integer,40,
.1.3.6.1.4.1.12148.10.13.11.2.1.7.1.3,Integer,40,
.1.3.6.1.4.1.12148.10.13.11.2.1.8.1.1,Integer,30,
.1.3.6.1.4.1.12148.10.13.11.2.1.8.1.2,Integer,30,
.1.3.6.1.4.1.12148.10.13.11.2.1.8.1.3,Integer,30,
.1.3.6.1.4.1.12148.10.13.11.2.1.9.1.1,Integer,-5,
.1.3.6.1.4.1.12148.10.13.11.2.1.9.1.2,Integer,-5,
.1.3.6.1.4.1.12148.10.13.11.2.1.9.1.3,Integer,-5,
.1.3.6.1.4.1.12148.10.13.11.2.1.10.1.1,Integer,-10,
.1.3.6.1.4.1.12148.10.13.11.2.1.10.1.2,Integer,-10,
.1.3.6.1.4.1.12148.10.13.11.2.1.10.1.3,Integer,-10,
.1.3.6.1.4.1.12148.10.13.11.3.1.1.1,Integer,4,
.1.3.6.1.4.1.12148.10.13.11.3.1.2.1,OctetString,[69 97 114 116 104 32 70 97 117 108 116 121 32 32 49],
.1.3.6.1.4.1.12148.10.13.11.3.1.4.1,Integer,0,
.1.3.6.1.4.1.12148.10.13.11.3.1.5.1,Integer,1,
.1.3.6.1.4.1.12148.10.13.11.3.1.6.1,Integer,110,
.1.3.6.1.4.1.12148.10.13.12.1.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.1.2.0,OctetString,[67 116 114 108 85 110 105 116 69 114 114 111 114 32 32 32],
.1.3.6.1.4.1.12148.10.13.12.1.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.1.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.1.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.1.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.2.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.2.2.0,OctetString,[67 85 32 69 114 114 46 83 109 97 114 116 78 111 100 101],
.1.3.6.1.4.1.12148.10.13.12.2.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.2.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.2.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.2.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.3.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.3.2.0,OctetString,[67 85 32 69 114 114 46 66 97 116 116 77 111 110 32 32],
.1.3.6.1.4.1.12148.10.13.12.3.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.3.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.3.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.3.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.4.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.4.2.0,OctetString,[67 85 32 69 114 114 46 76 111 97 100 77 111 110 32 32],
.1.3.6.1.4.1.12148.10.13.12.4.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.4.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.4.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.4.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.5.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.5.2.0,OctetString,[67 85 32 69 114 114 46 73 79 45 85 110 105 116 32 32],
.1.3.6.1.4.1.12148.10.13.12.5.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.5.5.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.5.6.0,Integer,2,
.1.3.6.1.4.1.12148.10.13.12.5.7.0,Integer,2,
.1.3.6.1.4.1.12148.10.13.12.6.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.6.2.0,OctetString,[67 85 32 69 114 114 46 77 97 105 110 115 77 111 110 32],
.1.3.6.1.4.1.12148.10.13.12.6.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.6.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.6.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.6.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.7.1.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.7.2.0,OctetString,[67 85 32 69 114 114 46 70 108 101 120 105 77 111 110 32],
.1.3.6.1.4.1.12148.10.13.12.7.4.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.7.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.12.7.6.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.12.7.7.0,Integer,1,
.1.3.6.1.4.1.12148.10.13.13.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.13.13.2.0,OctetString,[65 109 98 105 101 110 116 84 101 109 112 32],
.1.3.6.1.4.1.12148.10.13.13.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.13.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.13.6.0,Integer,40,
.1.3.6.1.4.1.12148.10.13.13.7.0,Integer,30,
.1.3.6.1.4.1.12148.10.13.13.8.0,Integer,-5,
.1.3.6.1.4.1.12148.10.13.13.9.0,Integer,-10,
.1.3.6.1.4.1.12148.10.13.14.1.0,Integer,4,
.1.3.6.1.4.1.12148.10.13.14.2.0,OctetString,[66 97 116 116 45 65 109 98 105 101 110 116 84 101 109 112],
.1.3.6.1.4.1.12148.10.13.14.4.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.14.5.0,Integer,0,
.1.3.6.1.4.1.12148.10.13.14.6.0,Integer,12,
