oid,type,value
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.25,Integer,94
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.26,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.27,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.28,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.29,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.30,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.31,Integer,97
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.32,Integer,94
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.33,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.34,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.35,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.36,Integer,98
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.37,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.38,Integer,94
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.39,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.40,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.41,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.42,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.43,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.44,Integer,94
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.45,Integer,93
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.46,Integer,98
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.47,Integer,96
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.48,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.49,Integer,99
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.50,Integer,97
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.51,Integer,95
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.2.52,Integer,45
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.1,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.2,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.3,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.4,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.5,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.6,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.7,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.8,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.9,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.10,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.11,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.12,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.13,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.14,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.15,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.16,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.17,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.18,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.19,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.20,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.21,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.22,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.23,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.24,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.25,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.26,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.27,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.28,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.29,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.30,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.31,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.32,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.33,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.34,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.35,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.36,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.37,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.38,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.39,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.40,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.41,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.42,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.43,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.44,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.45,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.46,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.47,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.48,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.49,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.50,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.51,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.3.52,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.1,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.2,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.3,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.4,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.5,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.6,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.7,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.8,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.9,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.10,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.11,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.12,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.13,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.14,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.15,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.16,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.17,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.18,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.19,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.20,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.21,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.22,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.23,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.24,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.25,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.26,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.27,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.28,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.29,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.30,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.31,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.32,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.33,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.34,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.35,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.36,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.37,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.38,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.39,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.40,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.41,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.42,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.43,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.44,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.45,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.46,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.47,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.48,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.49,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.50,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.51,Integer,0
.1.3.6.1.4.1.12148.10.13.10.14.1.2.1.4.52,Integer,0
.1.3.6.1.4.1.12148.10.13.10.15.0,Integer,52
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.1,Integer,750
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.2,Integer,733
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.3,Integer,735
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.4,Integer,736
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.5,Integer,738
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.6,Integer,759
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.7,Integer,756
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.8,Integer,758
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.9,Integer,751
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.10,Integer,776
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.11,Integer,759
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.12,Integer,719
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.13,Integer,636
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.14,Integer,741
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.15,Integer,767
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.16,Integer,750
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.17,Integer,766
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.18,Integer,821
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.19,Integer,774
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.20,Integer,770
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.21,Integer,772
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.22,Integer,775
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.23,Integer,756
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.24,Integer,748
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.25,Integer,743
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.26,Integer,745
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.27,Integer,746
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.28,Integer,761
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.29,Integer,764
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.30,Integer,751
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.31,Integer,758
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.32,Integer,746
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.33,Integer,737
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.34,Integer,737
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.35,Integer,757
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.36,Integer,732
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.37,Integer,722
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.38,Integer,710
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.39,Integer,704
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.40,Integer,714
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.41,Integer,718
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.42,Integer,712
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.43,Integer,710
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.44,Integer,695
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.45,Integer,731
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.46,Integer,698
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.47,Integer,704
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.48,Integer,705
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.49,Integer,713
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.50,Integer,775
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.51,Integer,766
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.1.52,Integer,366
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.1,Integer,690
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.2,Integer,663
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.3,Integer,669
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.4,Integer,667
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.5,Integer,670
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.6,Integer,663
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.7,Integer,675
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.8,Integer,667
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.9,Integer,685
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.10,Integer,739
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.11,Integer,676
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.12,Integer,629
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.13,Integer,550
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.14,Integer,665
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.15,Integer,669
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.16,Integer,675
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.17,Integer,668
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.18,Integer,679
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.19,Integer,673
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.20,Integer,672
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.21,Integer,674
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.22,Integer,689
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.23,Integer,689
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.24,Integer,675
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.25,Integer,671
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.26,Integer,672
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.27,Integer,672
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.28,Integer,673
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.29,Integer,678
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.30,Integer,673
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.31,Integer,677
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.32,Integer,670
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.33,Integer,672
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.34,Integer,674
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.35,Integer,688
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.36,Integer,674
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.37,Integer,673
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.38,Integer,669
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.39,Integer,654
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.40,Integer,664
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.41,Integer,660
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.42,Integer,660
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.43,Integer,648
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.44,Integer,650
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.45,Integer,659
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.46,Integer,648
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.47,Integer,650
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.48,Integer,661
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.49,Integer,676
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.50,Integer,693
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.51,Integer,665
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.2.52,Integer,333
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.1,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.2,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.3,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.4,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.5,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.6,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.7,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.8,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.9,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.10,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.11,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.12,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.13,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.14,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.15,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.16,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.17,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.18,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.19,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.20,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.21,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.22,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.23,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.24,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.25,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.26,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.27,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.28,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.29,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.30,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.31,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.32,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.33,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.34,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.35,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.36,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.37,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.38,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.39,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.40,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.41,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.42,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.43,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.44,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.45,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.46,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.47,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.48,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.49,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.50,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.51,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.3.52,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.1,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.2,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.3,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.4,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.5,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.6,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.7,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.8,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.9,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.10,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.11,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.12,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.13,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.14,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.15,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.16,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.17,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.18,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.19,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.20,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.21,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.22,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.23,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.24,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.25,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.26,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.27,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.28,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.29,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.30,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.31,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.32,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.33,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.34,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.35,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.36,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.37,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.38,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.39,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.40,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.41,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.42,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.43,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.44,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.45,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.46,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.47,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.48,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.49,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.50,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.51,Integer,0
.1.3.6.1.4.1.12148.10.13.10.16.1.2.1.4.52,Integer,0
.1.3.6.1.4.1.12148.10.13.11.1.1.2.1,Integer,3
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.1,Integer,4
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.2,Integer,4
.1.3.6.1.4.1.12148.10.13.11.2.1.2.1.3,Integer,4
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.1,OctetString,"""Temperature1.1"""
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.2,OctetString,"""Temperature1.2"""
.1.3.6.1.4.1.12148.10.13.11.2.1.3.1.3,OctetString,"""Temperature1.3"""
.1.3.6.1.4.1.12148.10.13.11.2.1.5.1.1,Integer,0
